id,slug,name,description,image_url,sort_order
1,rings,Rings,Statement and everyday rings,,0
2,necklaces,Necklaces,"Chains, pendants and layering pieces",,0
3,earrings,Earrings,"Studs, hoops and drops",,0
4,bracelets,Bracelets,"Bangles, cuffs and chain bracelets",,0
5,handbags,Handbags,Everyday and occasion bags,,0
6,crossbody-bags,Crossbody bags,Compact bags for daily wear,,0
7,dresses,Dresses,Occasion and everyday dresses,,0
8,skincare,Skincare,"Cleansers, serums and moisturisers",,0
9,gift-sets,Gift sets,Curated gifting bundles,,0
